time,stock,side,entry,size,tp1,tp2,sl,status,partial,pnl,partial_taken
1778152127.0828753,BBRI.JK,SELL,3310.0,6042.2961,3243.8,3177.6,3376.2000000000003,CLOSED,True,0.0,
1778152223.163442,BBRI.JK,SELL,3310.0,6042.2961,3243.8,3177.6,3376.2000000000003,CLOSED,True,0.0,
1778152697.0544991,BBRI.JK,SELL,3310.0,6042.2961,3243.8,3177.6,3343.1,OPEN,False,,
1778159769.865982,BBRI.JK,SELL,3310.0,6042.2961,3243.8,3177.6,3343.1,OPEN,False,,
1778164354.4128344,BBRI.JK,SELL,3310.0,6042.2961,3243.8,3177.6,3343.1,OPEN,False,,
1778165690.8032749,BBRI.JK,SELL,3310.0,6042.2961,3243.8,3177.6,3343.1,OPEN,False,,
1778167031.3010206,BBRI.JK,SELL,3310.0,6042.2961,3243.8,3177.6,3343.1,OPEN,False,,
,TLKM.JK,BUY,3000.0,,3060.0,3120.0,2940.0,OPEN,,,False
